symbol,name,isin,sector,industry,country,exchange
1COV.DE,COVESTRO AG,AT0000816301,Basic Materials,Specialty Chemicals,Germany,GER
A,"Agilent Technologies, Inc.",US00846U1016,Healthcare,Diagnostics & Research,United States,NYQ
AA,Alcoa Corporation,US0138721065,Basic Materials,Aluminum,United States,NYQ
AAC,Ares Acquisition Corporation,KYG330321061,Financial Services,Shell Companies,United States,NYQ
AACG,ATA Creativity Global,US00211V1061,Consumer Defensive,Education & Training Services,China,NGM
AACI,Armada Acquisition Corp. I,US04208V1035,Financial Services,Shell Companies,United States,NGM
AACIU,Armada Acquisition Corp. I,US04208V2025,Financial Services,Shell Companies,United States,NGM
AADI,"Aadi Bioscience, Inc.",US00032Q1040,Healthcare,Biotechnology,United States,NCM
AAL,"American Airlines Group, Inc.",US02376R1023,Industrials,Airlines,United States,NMS
AAME,Atlantic American Corporation,US0482091008,Financial Services,Insurance—Life,United States,NGM
AAOI,"Applied Optoelectronics, Inc.",US03823U1025,Technology,Semiconductors,United States,NGM
AAON,"AAON, Inc.",US0003602069,Industrials,Building Products & Equipment,United States,NMS
AAP,Advance Auto Parts Inc.,US00751Y1064,Consumer Cyclical,Specialty Retail,United States,NYQ
AAPL,Apple Inc.,US0378331005,Technology,Consumer Electronics,United States,NMS
AATC,Autoscope Technologies Corporat,US0533061067,Technology,Scientific & Technical Instruments,United States,NCM
AAWW,Atlas Air Worldwide Holdings,US0491642056,Industrials,Airports & Air Services,United States,NMS
AB,AllianceBernstein Holding L.P.,US01881G1067,Financial Services,Asset Management,United States,NYQ
ABBV,AbbVie Inc.,US00287Y1091,Healthcare,Drug Manufacturers—General,United States,NYQ
ABC,AmerisourceBergen Corporation,US03073E1055,Healthcare,Medical Distribution,United States,NYQ
ABCB,Ameris Bancorp,US03076K1088,Financial Services,Banks—Regional,United States,NMS
ABCL,AbCellera Biologics Inc.,CA00288U1066,Healthcare,Biotechnology,Canada,NMS
ABCM,Abcam plc,US0003802040,Healthcare,Biotechnology,United Kingdom,NMS
ABEO,Abeona Therapeutics Inc.,US00289Y1073,Healthcare,Biotechnology,United States,NCM
ABGI,ABG Acquisition Corp. I,KYG004961028,Financial Services,Shell Companies,United States,NCM
ABIO,"ARCA biopharma, Inc.",US00211Y5069,Healthcare,Biotechnology,United States,NCM
ABMD,"ABIOMED, Inc.",US0036541003,Healthcare,Medical Devices,United States,NMS
ABNB,"Airbnb, Inc.",US0090661010,Consumer Cyclical,Travel Services,United States,NMS
ABOS,"Acumen Pharmaceuticals, Inc.",US00509G2093,Healthcare,Biotechnology,United States,NMS
ABSI,Absci Corporation,US00091E1091,Healthcare,Biotechnology,United States,NMS
ABST,Absolute Software Corporation,CA00386B1094,Technology,Software—Application,Canada,NMS
