,symbol,name,isin,sector,industry,country,exchange
0,AADR,,US00768Y2063,,,,
1,AAF,,INE322R01014,,,,
2,AALB,AALBERTS NV,INE717E01013,,,,Euronext Amsterdam
3,AAXJ,,US4642881829,,,,
4,ABCA,ABC ARBITRAGE,DK0000ABA001,,,,Euronext Paris
5,ABO,ABO GROUP,BE0974278104,,,,Euronext Brussels
6,ACABU,,AU000000CLZ3,,,,
7,ACCB,ACCENTIS,BE0003696102,,,,Euronext Brussels
8,ACCEL,ACCELL GROUP,INE020G01017,,,,Euronext Amsterdam
9,ACEVW,,INE715F01014,,,,
10,ACKB,ACKERMANS V.HAAREN,JP3121120004,,,,Euronext Brussels
11,ACKIT,,US00461L3033,,,,
12,ACKIU,,US00461L2043,,,,
13,ACOMO,AMSTERDAM COMMOD.,JP3161290006,,,,Euronext Amsterdam
14,ACWI,,US4642882579,,,,
15,ACWX,,US4642882405,,,,
16,ADRE,,US46090C3051,,,,
17,ADUX,ADUX,DE00AUX00000,,,,Euronext Paris
18,ADVI,ADVINI,FR0000053043,,,,Euronext Paris
19,ADVIC,ADVICENNE,FR0013296746,,,,Euronext Paris
20,ADYEN,ADYEN,JP3122380003,,,,Euronext Amsterdam
21,AEACW,,DE000A1MMEV4,,,,
22,AEGA,AEGA,SE0014401121,,,,Euronext Expand Oslo
23,AFISH,ARCTIC FISH HOLDIN,INE011R01013,,,,Euronext Growth Oslo
24,AGN,AEGON,JP3780150003,,,,Euronext Amsterdam
25,AIA,,US4642884302,,,,
26,AIRR,,US33738R7044,,,,
27,AIRX,AIRTHINGS,GB0008123027,,,,Euronext Growth Oslo
28,AJAX,AJAX,INE031B01049,,,,Euronext Amsterdam
29,AJB,,INE229B01015,,,,
30,AKE,ARKEMA,NO0010936081,,,,Euronext Paris
31,AKICW,,GB00BYV31355,,,,
32,AKW,AKWEL,DE000A3CSTW4,,,,Euronext Paris
33,AKZA,AKZO NOBEL,FR0004180537,,,,Euronext Amsterdam
34,ALACT,ACTICOR BIOTECH,AU000000AQG6,,,,Euronext Growth Paris
35,ALADA,ADA,INE243E01010,,,,Euronext Growth Paris
36,ALALO,ACHETER-LOUER.FR,NET00AVA1230,,,,Euronext Growth Paris
37,ALAMA,AMA CORPORATION,SA12CG541C16,,,,Euronext Growth Paris
38,ALAUD,AUDACIA,FI0009001127,,,,Euronext Growth Paris
39,ALBI,GASCOGNE,GB00B1G3LR35,,,,Euronext Growth Paris
40,ALBIO,BIOSYNEX,FR0012332864,,,,Euronext Growth Paris
41,ALBOA,BOA CONCEPT,DE0006209901,,,,Euronext Growth Paris
42,ALCES,CESAR,GB00BGQVB052,,,,Euronext Growth Paris
43,ALCHI,ALCHIMIE,FR0014000JX7,,,,Euronext Growth Paris
44,ALCOR,BIOCORP,JP3126210008,,,,Euronext Growth Paris
45,ALCUR,ARCURE,FR0013398997,,,,Euronext Growth Paris
46,ALD,ALD,US97717X8424,,,,Euronext Paris
47,ALDAR,DAMARTEX,INE673E01018,,,,Euronext Growth Paris
48,ALDEL,DELFINGEN,DK0060299063,,,,Euronext Growth Paris
49,ALDEV,DEVERNOIS,CH0006668930,,,,Euronext Growth Paris
50,ALDR,DELTA DRONE,SA000A0HNGZ6,,,,Euronext Growth Paris
51,ALDV,ADC SIIC,SA000A0HNGZ6,,,,Euronext Paris
52,ALECR,EUROFINS CEREP,CA01450V1040,,,,Euronext Growth Paris
53,ALENO,ENOGIA,JO3128711012,,,,Euronext Growth Paris
54,ALENT,ENTREPARTICULIERS,JO3128711012,,,,Euronext Growth Paris
55,ALEXA,EXACOMPTA CLAIREF.,EGS30471C014,,,,Euronext Growth Paris
56,ALFEN,ALFEN,IS0000024602,,,,Euronext Amsterdam
57,ALFRE,FREELANCE.COM,SA000A0HNGZ6,,,,Euronext Growth Paris
58,ALGBE,GLOBAL BIOENERGIES,FR0011052257,,,,Euronext Growth Paris
59,ALGEN,GENOWAY,BG11ALBAAT17,,,,Euronext Growth Paris
60,ALGRO,GROLLEAU,ARAGRO010015,,,,Euronext Growth Paris
61,ALIDS,IDSUD,JO3122011013,,,,Euronext Growth Paris
62,ALIE,ILBE,JP3399240005,,,,Euronext Growth Paris
63,ALINT,INTEGRAGEN,JP3126100001,,,,Euronext Growth Paris
64,ALISP,ISPD,JO3122011013,,,,Euronext Growth Paris
65,ALKAL,KALRAY,INE773I01017,,,,Euronext Growth Paris
66,ALKEM,GROUPE BERKEM,INE540L01014,,,,Euronext Growth Paris
67,ALKER,MEDIA MAKER,IT0005314635,,,,Euronext Growth Paris
68,ALKOM,KOMPUESTOS,BG11ALSUAT14,,,,Euronext Growth Paris
69,ALLAN,LANSON-BCC,DE000A0DPRE6,,,,Euronext Growth Paris
70,ALLEC,COGELEC,DE0005034201,,,,Euronext Growth Paris
71,ALLEX,LEXIBOOK LINGUIST.,DE0005034201,,,,Euronext Growth Paris
72,ALLGO,LARGO,DE000A2GS633,,,,Euronext Growth Paris
73,ALLIX,WALLIX,US01877C7056,,,,Euronext Growth Paris
74,ALLOG,LOGIC INSTRUMENT,AU0000183915,,,,Euronext Growth Paris
75,ALMAK,MAKHEIA GROUP,IT0005434615,,,,Euronext Growth Paris
76,ALMAR,MARE NOSTRUM,SA000A0ETHT1,,,,Euronext Growth Paris
77,ALMAS,MASTRAD,IT0005434615,,,,Euronext Growth Paris
78,ALMDP,MEDESIS PHARMA,US02217B2097,,,,Euronext Growth Paris
79,ALMER,SAPMER,JP3126520000,,,,Euronext Growth Paris
80,ALMET,METHANOR,JP3126500002,,,,Euronext Growth Paris
81,ALNG,AWILCO LNG,NO0010607971,,,,Euronext Expand Oslo
82,ALNOR,NEXPONOR-SICAFI,INE422G01015,,,,Euronext Growth Lisbon
83,ALNOV,NOVACYT,CH0000AEN011,,,,Euronext Growth Paris
84,ALO,ALSTOM,INE527R01018,,,,Euronext Paris
85,ALONC,ONCODESIGN,JP3126100001,,,,Euronext Growth Paris
86,ALORA,ALTHEORA,INE527R01018,,,,Euronext Growth Paris
87,ALPAR,GPE PAROT (AUTO),CH0001413704,,,,Euronext Growth Paris
88,ALPER,LA PERLA FASHION,JP3126470008,,,,Euronext Growth Paris
89,ALPHA,PHARNEXT,JP3126360001,,,,Euronext Growth Paris
90,ALPHE,PHERECYDES PHARMA,JP3126410004,,,,Euronext Growth Paris
91,ALPHI,FACEPHI,JP3126410004,,,,Euronext Growth Paris
92,ALPLA,PLANET MEDIA,FR0013410370,,,,Euronext Growth Paris
93,ALPRI,PRISMAFLEX INTL,PTALT0AE0002,,,,Euronext Growth Paris
94,ALPRO,PRODWARE,INE579B01039,,,,Euronext Growth Paris
95,ALSEN,SENSORION,JP3126470008,,,,Euronext Growth Paris
96,ALSER,SERMA GROUP,JP3126460009,,,,Euronext Growth Paris
97,ALTA,ALTAREA,CA02144U2056,,,,Euronext Paris
98,ALTAN,LE TANNEUR,CA02143B2084,,,,Euronext Growth Paris
99,ALTEV,ENVEA,JP3126350002,,,,Euronext Growth Paris
100,ALTHE,THERACLION,INE057D01016,,,,Euronext Growth Paris
101,ALTIV,TIVOLY,FI4000292438,,,,Euronext Growth Paris
102,ALTOO,TOOSLA,CH0001689683,,,,Euronext Growth Paris
103,ALTRI,TRILOGIQ,PTALT0AE0002,,,,Euronext Growth Paris
104,ALTRO,TRONICS,ZAE000191342,,,,Euronext Growth Paris
105,ALTUR,ALTUR INVEST.,ROALTCACNOR1,,,,Euronext Paris
106,ALUCI,LUCIBEL,GRS289103004,,,,Euronext Growth Paris
107,ALUCR,UCAR,ARALUA010258,,,,Euronext Growth Paris
108,ALUMS,UMANIS,GB0000280353,,,,Euronext Growth Paris
109,ALVER,VERGNET,FR0013253812,,,,Euronext Growth Paris
110,ALVIV,VISIATIV,INE461H01011,,,,Euronext Growth Paris
111,ALWF,WINFARM,CH0453226893,,,,Euronext Growth Paris
112,AMPLI,AMPLITUDE SURGICAL,FR0012789667,,,,Euronext Paris
113,AMUN,AMUNDI,FR0004125920,,,,Euronext Paris
114,AMUND,ALMUNDA PRO NV,CH0002271010,,,,Euronext Amsterdam
115,ANDF,ANDFJORD SALMON,NO0010829765,,,,Euronext Growth Oslo
116,ANGL,,US92189F4375,,,,
117,ANTIN,ANTIN INFRA PARTN,FR0014005AL0,,,,Euronext Paris
118,ANTO,,GB0000455849,,,,
119,AOW,AKER OFFSHORE WIND,JP3105900009,,,,Euronext Growth Oslo
120,APA,,US03743Q1085,,,,
121,APAX,,PLAPATR00018,,,,
122,ARAMI,ARAMIS GROUP,FR0014003U94,,,,Euronext Paris
123,ARCAD,ARCADIS,AU0000145815,,,,Euronext Amsterdam
124,ARDO,ARDOIN ST AMAND B,FR0005057635,,,,Euronext Access Paris
125,ARGEO,ARGEO,NO0010946593,,,,Euronext Growth Oslo
126,ARTO,ARTOIS NOM.,INE133D01023,,,,Euronext Paris
127,ASET,,US33939L7385,,,,
128,ASHM,,JP3118400005,,,,
129,ASIT,ASIT,SE0003036821,,,,Euronext Brussels
130,ASPCW,,ROCMPSACNOR9,,,,
131,ASTRO,ASTROCAST,AU000000ARO8,,,,Euronext Growth Oslo
132,ATEB,ATENOR,PLATMSI00016,,,,Euronext Brussels
133,ATEME,ATEME,FR0011992700,,,,Euronext Paris
134,ATSPT,,US0395623012,,,,
135,ATSPU,,US0395622022,,,,
136,AURE,AUREA,FR0000039232,,,,Euronext Paris
137,AURS,AURES TECHNOLOGIES,NO0006001601,,,,Euronext Paris
138,AVV,,INE461H01011,,,,
139,AXW,AXWAY SOFTWARE,FR0011040500,,,,Euronext Paris
140,AYFIE,AYFIE GROUP,AU000000MFD1,,,,Euronext Growth Oslo
141,AZE,AZELIS GROUP,JP3120070002,,,,Euronext Brussels
142,BAB,,US46138G8050,,,,
143,BACE,BRIGADE M3 SHA,SE0008015259,,,,Euronext Amsterdam
144,BAIN,BAINS MER MONACO,FR0000051302,,,,Euronext Paris
145,BALTA,BALTA GROUP,BE0974314461,,,,Euronext Brussels
146,BALYO,BALYO,INE119R01014,,,,Euronext Paris
147,BARC,,JP3778310007,,,,
148,BARRA,BARRAMUNDI GROUP,NZBRME0001S2,,,,Euronext Growth Oslo
149,BAS,BASILIX CERT,RU0007976957,,,,Euronext Brussels
150,BASS,BASSAC,AU000000BAS3,,,,Euronext Paris
151,BBED,BETER BED,LU1068091351,,,,Euronext Amsterdam
152,BBH,,US92189F7261,,,,
153,BEAB,BEAULIEU-AV. CERT,NET000BODY01,,,,Euronext Brussels
154,BEEMW,,NET000SPR123,,,,
155,BEKB,BEKAERT,CH0009691608,,,,Euronext Brussels
156,BELR,BELRECA,BE0020575115,,,,Euronext Brussels
157,BELU,BELUGA,BE0003723377,,,,Euronext Brussels
158,BENER,,FI4000507488,,,,
159,BENEW,,FI4000507488,,,,
160,BERR,FIN.ETANG BERRE,DE0008214800,,,,Euronext Paris
161,BEVER,BEVER HOLDING,NL0000285278,,,,Euronext Amsterdam
162,BFIT,,US37954Y7985,,,,
163,BGRYW,,GB00BVDPPV41,,,,
164,BIB,,US74347R2141,,,,
165,BICK,,US33733H1077,,,,
166,BIFF,,ROBIOFACNOR9,,,,
167,BIM,BIOMERIEUX,IT0000074077,,,,Euronext Paris
168,BIOTW,,NET000CABIO1,,,,
169,BIRG,BANK OF IRELAND GP,NET000BIRD01,,,,Euronext Dublin
170,BIS,,US74347B7890,,,,
171,BJK,,US92189F8822,,,,
172,BLEE,BLEECKER,FR0000062150,,,,Euronext Paris
173,BLEUU,,KYG117281215,,,,
174,BLV,BELIEVE,US9219377937,,,,Euronext Paris
175,BMAQR,,DE000A0M93V6,,,,
176,BNB,BQUE NAT. BELGIQUE,KR7138930003,,,,Euronext Brussels
177,BNBS,DRONE VOLT BS26,CH0012684657,,,,Euronext Growth Paris
178,BND,,US9219378356,,,,
179,BNDX,,US92203J4076,,,,
180,BNGO,,US09075F1075,,,,
181,BNKR,,ID1000099708,,,,
182,BOKA,BOSKALIS WESTMIN,SE0008091581,,,,Euronext Amsterdam
183,BOLS,LUCASBOLS,NL0010998878,,,,Euronext Amsterdam
184,BOTHE,BONE THERAPEUTICS,JP3647600000,,,,Euronext Brussels
185,BOTZ,,US37954Y7159,,,,
186,BPOST,BPOST,FR0011814938,,,,Euronext Brussels
187,BRA,BRABANK,DK0061670205,,,,Euronext Growth Oslo
188,BRBY,,AU000000BBN2,,,,
189,BRILL,BRILL KON,NL0000442523,,,,Euronext Amsterdam
190,BRLIR,,DE0005272702,,,,
191,BRLIW,,DE0005272702,,,,
192,BRPMW,,SE0002016352,,,,
193,BRSC,,FR0004034320,,,,
194,BSCM,,US46138J8826,,,,
195,BSCN,,US46138J8669,,,,
196,BSCO,,US46138J8412,,,,
197,BSCP,,US46138J8255,,,,
198,BSCQ,,US46138J7919,,,,
199,BSD,BOURSE DIRECT,JP3799680008,,,,Euronext Paris
200,BSGAR,,FI4000507488,,,,
201,BSJM,,US46138J8743,,,,
202,BSJN,,US46138J8586,,,,
203,BSJO,,US46138J8339,,,,
204,BTEC,,US74255Y4098,,,,
205,BTWNW,,AU000000TTA3,,,,
206,BVI,BUREAU VERITAS,DE0005229504,,,,Euronext Paris
207,BYG,,NO0003087603,,,,
208,CAFO,CAFOM,GB0001615219,,,,Euronext Paris
209,CAMB,CAMPINE,IM00B28CVH58,,,,Euronext Brussels
210,CAMBI,CAMBI,NO0010078850,,,,Euronext Growth Oslo
211,CAP,CAPGEMINI,AU0000XINAS1,,,,Euronext Paris
212,CAPLI,CAPELLI,INE475E01026,,,,Euronext Paris
